nationbuilder_id,first_name,last_name,mobile_number,email,primary_address1,primary_address2,primary_city,primary_zip,gender,age_bracket,geo_bucket,edu_level,gender,age_bracket,edu_level,geo_bucket
p0,first_name 0,last_name 0,mobile_number 0,email 0,primary_address1 0,primary_address2 0,primary_city 0,primary_zip 0,gender 0,age_bracket 0,geo_bucket 0,edu_level 0,Female,45-59,Level 1,Lothian
p1,first_name 1,last_name 1,mobile_number 1,email 1,primary_address1 1,primary_address2 1,primary_city 1,primary_zip 1,gender 1,age_bracket 1,geo_bucket 1,edu_level 1,Female,30-44,Level 4 and above,Highlands and Islands
p2,first_name 2,last_name 2,mobile_number 2,email 2,primary_address1 2,primary_address2 2,primary_city 2,primary_zip 2,gender 2,age_bracket 2,geo_bucket 2,edu_level 2,Male,16-29,No qualifications,South Scotland
p3,first_name 3,last_name 3,mobile_number 3,email 3,primary_address1 3,primary_address2 3,primary_city 3,primary_zip 3,gender 3,age_bracket 3,geo_bucket 3,edu_level 3,Female,30-44,Level 1,Glasgow
p4,first_name 4,last_name 4,mobile_number 4,email 4,primary_address1 4,primary_address2 4,primary_city 4,primary_zip 4,gender 4,age_bracket 4,geo_bucket 4,edu_level 4,Female,60+,Level 4 and above,West Scotland
p5,first_name 5,last_name 5,mobile_number 5,email 5,primary_address1 5,primary_address2 5,primary_city 5,primary_zip 5,gender 5,age_bracket 5,geo_bucket 5,edu_level 5,Male,45-59,Level 1,Mid Scotland and Fife
p6,first_name 6,last_name 6,mobile_number 6,email 6,primary_address1 6,primary_address2 6,primary_city 6,primary_zip 6,gender 6,age_bracket 6,geo_bucket 6,edu_level 6,Male,30-44,Level 1,South Scotland
p7,first_name 7,last_name 7,mobile_number 7,email 7,primary_address1 7,primary_address2 7,primary_city 7,primary_zip 7,gender 7,age_bracket 7,geo_bucket 7,edu_level 7,Male,30-44,Level 4 and above,Central Scotland
p8,first_name 8,last_name 8,mobile_number 8,email 8,primary_address1 8,primary_address2 8,primary_city 8,primary_zip 8,gender 8,age_bracket 8,geo_bucket 8,edu_level 8,Female,16-29,Level 4 and above,West Scotland
p9,first_name 9,last_name 9,mobile_number 9,email 9,primary_address1 9,primary_address2 9,primary_city 9,primary_zip 9,gender 9,age_bracket 9,geo_bucket 9,edu_level 9,Male,60+,No qualifications,South Scotland
p10,first_name 10,last_name 10,mobile_number 10,email 10,primary_address1 10,primary_address2 10,primary_city 10,primary_zip 10,gender 10,age_bracket 10,geo_bucket 10,edu_level 10,Male,30-44,Level 4 and above,North East Scotland
p11,first_name 11,last_name 11,mobile_number 11,email 11,primary_address1 11,primary_address2 11,primary_city 11,primary_zip 11,gender 11,age_bracket 11,geo_bucket 11,edu_level 11,Female,60+,Level 4 and above,South Scotland
p12,first_name 12,last_name 12,mobile_number 12,email 12,primary_address1 12,primary_address2 12,primary_city 12,primary_zip 12,gender 12,age_bracket 12,geo_bucket 12,edu_level 12,Male,16-29,Level 1,South Scotland
p13,first_name 13,last_name 13,mobile_number 13,email 13,primary_address1 13,primary_address2 13,primary_city 13,primary_zip 13,gender 13,age_bracket 13,geo_bucket 13,edu_level 13,Female,60+,Level 2 or 3,South Scotland
p14,first_name 14,last_name 14,mobile_number 14,email 14,primary_address1 14,primary_address2 14,primary_city 14,primary_zip 14,gender 14,age_bracket 14,geo_bucket 14,edu_level 14,Female,16-29,Level 2 or 3,North East Scotland
p15,first_name 15,last_name 15,mobile_number 15,email 15,primary_address1 15,primary_address2 15,primary_city 15,primary_zip 15,gender 15,age_bracket 15,geo_bucket 15,edu_level 15,Male,30-44,No qualifications,Glasgow
p16,first_name 16,last_name 16,mobile_number 16,email 16,primary_address1 16,primary_address2 16,primary_city 16,primary_zip 16,gender 16,age_bracket 16,geo_bucket 16,edu_level 16,Female,16-29,Level 2 or 3,Highlands and Islands
p17,first_name 17,last_name 17,mobile_number 17,email 17,primary_address1 17,primary_address2 17,primary_city 17,primary_zip 17,gender 17,age_bracket 17,geo_bucket 17,edu_level 17,Non-binary or other,30-44,No qualifications,Mid Scotland and Fife
p18,first_name 18,last_name 18,mobile_number 18,email 18,primary_address1 18,primary_address2 18,primary_city 18,primary_zip 18,gender 18,age_bracket 18,geo_bucket 18,edu_level 18,Male,30-44,No qualifications,North East Scotland
p19,first_name 19,last_name 19,mobile_number 19,email 19,primary_address1 19,primary_address2 19,primary_city 19,primary_zip 19,gender 19,age_bracket 19,geo_bucket 19,edu_level 19,Male,45-59,No qualifications,Glasgow
p20,first_name 20,last_name 20,mobile_number 20,email 20,primary_address1 20,primary_address2 20,primary_city 20,primary_zip 20,gender 20,age_bracket 20,geo_bucket 20,edu_level 20,Male,60+,Level 4 and above,North East Scotland
